UID	CMPD_ID	ISOMER_ID	CLUSTER_ID	ENERGY	INCHI_KEY	CANON_SMILES	ISO_SMILES
AD3CC00268620-I00-C00	AD3CC00268620	0	0	87.8082364469291	XIFFATZVUNRCKL-UHFFFAOYSA-N	Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(=O)n(CCN5CCOCC5)c4)c4ccccc34)n2)cc2c[nH]nc12	Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(=O)n(CCN5CCOCC5)c4)c4ccccc34)n2)cc2c[nH]nc12
AD3CC00279003-I00-C00	AD3CC00279003	0	0	-1.7796250493028136	XRMIXMGGCDFGRF-UHFFFAOYSA-N	Fc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1	Fc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1
AD3CC00284323-I00-C00	AD3CC00284323	0	0	34.0469107122219	KJQHSBCTSWILOS-UHFFFAOYSA-N	Cc1ccccc1-c1nc(N(C(N)=O)c2c(F)cccc2F)c2ncn(C)c2n1	Cc1ccccc1-c1nc(N(C(N)=O)c2c(F)cccc2F)c2ncn(C)c2n1
AD3CC00284789-I00-C00	AD3CC00284789	0	0	-42.02919582548265	SSYUQVBLVMOERU-UHFFFAOYSA-N	CCc1ccc(NC(=O)Nc2cc(C(C)(C)C)sc2C(=O)NC)cc1	CCc1ccc(NC(=O)Nc2cc(C(C)(C)C)sc2C(=O)NC)cc1
AD3CC00284934-I00-C00	AD3CC00284934	0	0	-2.7589258660135103	DKCJPCKZQBUQPV-UHFFFAOYSA-N	COCCOC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1	COCCOC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1
AD3CC00285273-I00-C00	AD3CC00285273	0	0	-24.941147904031304	FETIVRQJTSQCQU-UHFFFAOYSA-N	COC(=O)c1c(NC(=O)Nc2ccc(C)cc2)cc(C(C)(C)C)n1C	COC(=O)c1c(NC(=O)Nc2ccc(C)cc2)cc(C(C)(C)C)n1C
AD3CC00310690-I00-C00	AD3CC00310690	0	0	16.172907399728167	CYOCXZGBQXNENU-UHFFFAOYSA-N	CCCOc1ccc(Sc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1	CCCOc1ccc(Sc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1
AD3CC00310949-I00-C00	AD3CC00310949	0	0	-28.21257034925661	AMASUPSHOBDCLG-UHFFFAOYSA-N	CCOC(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1	CCOC(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1
AD3CC00340223-I00-C00	AD3CC00340223	0	0	92.22502824581429	XPJYLZFRUZFVNU-UHFFFAOYSA-N	CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc(S(C)(=O)=O)cc2)n1	CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc(S(C)(=O)=O)cc2)n1
AD3CC00340223-I00-C00	AD3CC00340223	0	0	92.22502824581429	XPJYLZFRUZFVNU-UHFFFAOYSA-N	CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc(S(C)(=O)=O)cc2)n1	CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc(S(C)(=O)=O)cc2)n1
